rank,name,director,score,score_num,quote
165,你的名字。,新海诚,8.5,1201043,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
166,英雄本色,吴宇森,8.6,454879,英雄泪短，兄弟情长。 
167,头脑特工队,彼特·道格特,8.7,516003,愿我们都不用长大，每一座城堡都能永远存在。
168,达拉斯买家俱乐部,让-马克·瓦雷,8.8,390455,Jared Leto的腿比女人还美！
169,纵横四海,吴宇森,8.8,358798,香港浪漫主义警匪动作片的巅峰之作。
170,心迷宫,忻钰坤,8.7,434878,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
171,岁月神偷,罗启锐,8.7,521075,岁月流逝，来日可追。
172,记忆碎片,克里斯托弗·诺兰,8.7,531567,一个针管引发的血案。
173,惊魂记,阿尔弗雷德·希区柯克,9.0,229272,故事的反转与反转，分裂电影的始祖。
174,忠犬八公物语,Seijir,9.2,166265,养狗三日，便会对你终其一生。
175,海街日记,是枝裕和,8.8,373298,是枝裕和的家庭习作。
176,荒蛮故事,达米安·斯兹弗隆,8.8,378511,始于荒诞，止于更荒诞。
177,九品芝麻官,王晶,8.6,544441,
178,爆裂鼓手,达米恩·查泽雷,8.7,493803,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
179,贫民窟的百万富翁,丹尼·鲍尔,8.6,658580,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
180,真爱至上,理查德·柯蒂斯,8.6,627398,爱，是个动词。
181,东邪西毒,王家卫,8.6,510556,电影诗。
182,绿里奇迹,Frank,8.9,268374,天使暂时离开。
183,小偷家族,是枝裕和,8.7,719472,我们组成了家。
184,爱在午夜降临前,理查德·林克莱特,8.8,318335,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
185,无敌破坏王,瑞奇·莫尔,8.7,461233,迪士尼和皮克斯拿错剧本的产物。
186,黑天鹅,达伦·阿罗诺夫斯基,8.6,710493,黑暗之美。
187,冰川时代,卡洛斯·沙尔丹哈,8.6,538297,松鼠才是角儿。
188,你看起来好像很好吃,藤森雅也,8.9,292091,感情不分食草或者食肉。
189,疯狂的石头,宁浩,8.5,701111,中国版《两杆大烟枪》。
190,萤火虫之墓,高畑勋,8.7,366672,幸福是生生不息，却难以触及的远。 
191,色，戒,李安,8.5,625868,假戏真情，爱欲深海
192,雨人,巴瑞·莱文森,8.7,356983,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
193,恐怖游轮,克里斯托弗·史密斯,8.5,699133,不要企图在重复中寻找已经失去的爱。
