职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java开发工程师,广州-天河区,,13-25k·13薪,3-5年本科及以上,Infosys,|计算机软件|已上市|2000-5000人|,胡女士
java架构师,广州-海珠区,,15-25k,5-10年本科及以上,领雁科技,|计算机软件|500-999人|,陈女士
Java开发工程师（营收） (MJ002986),广州-番禺区,,20-35k·13薪,3-5年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
java开发工程师,广州-海珠区,,9-10k,经验不限本科及以上,威讯柏睿数据科技(北京)有限公司,|计算机软件|B轮|100-499人|,张女士
Java开发工程师,广州-越秀区,,8-15k·13薪,3-5年本科及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
Java开发工程师（广州）,广州,,10-15k,5-10年大专及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
java技术经理,广州,,20-30k,5-10年大专及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
Java后台开发工程师 (MJ003041),广州-番禺区,,20-40k·13薪,3-5年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java开发工程师 (MJ003175),广州-番禺区,,20-40k·13薪,3-5年本科及以上,欢聚集团,|互联网/电商|美股上市|2000-5000人|,曾女士
Java开发工程师,广州,,10-20k,3-5年大专及以上,广州智选网络科技有限公司,|O2O服务|A轮|100-499人|,李女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java leader,广州-天河区,,20-28k·13薪,5-10年统招本科,上海华钦信息科技股份有限公司,|计算机软件|1000-2000人|,HR
Java工程师,广州-天河区,,12-15k,3-5年统招本科,上海华钦信息科技股份有限公司,|计算机软件|1000-2000人|,HR
Java/web研发工程师,广州,,8-10k,1-3年本科及以上,广州丰石科技有限公司,|互联网/电商|天使轮|100-499人|,肖女士
java工程师,广州-番禺区,,15-23k·13薪,3-5年统招本科,广东金朋科技有限公司,|智能家居|100-499人|,廖女士
Java,广州,,8-15k,3-5年统招本科,威讯柏睿数据科技(北京)有限公司,|计算机软件|B轮|100-499人|,箭女士
JAVA开发工程师,广州-海珠区,,10-15k,经验不限本科及以上,药师帮,|互联网/电商|D轮|2000-5000人|,吴女士
java高级软件工程师,广州-海珠区,,15-25k,1-3年统招本科,药师帮,|互联网/电商|D轮|2000-5000人|,吴女士
