职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
java开发工程师,武汉-洪山区,,12-17k,3-5年统招本科,盖雅工场,|企业服务软件|D轮及以上|500-999人|,胡女士
高级java开发工程师,武汉,,15-22k·13薪,5-10年统招本科,国资委旗下人工智能行业应用企业,|互联网/电商|已上市|5000-10000人|,贺先生
Java高级软件开发工程师,武汉-汉阳区,,10-15k,3-5年本科及以上,浙江凯乐士科技有限公司,|仪器/电气/自动化|500-999人|,杨女士
java架构师,武汉-洪山区,,30-60k,5-10年本科及以上,深圳市明源云科技有限公司,|行业Saas|5000-10000人|,魏先生
Java开发工程师,武汉-洪山区,,11-20k,3-5年本科及以上,北京同创永益科技发展有限公司,|计算机软件|C轮|100-499人|,潘女士
java开发,武汉-江夏区,,10-22k,3-5年本科及以上,深圳建广数字科技有限公司,|计算机软件|1000-2000人|,刘先生
java工程师,武汉-武昌区,,6-10k,1-3年大专及以上,武汉蓬域区块链科技有限公司,|计算机软件|1-49人|,杨女士
java中级开发工程师,武汉,,13-18k·13薪,3-5年大专及以上,湖北普联东文信息科技有限公司,|计算机软件|天使轮|50-99人|,刘女士
java架构师,武汉-江夏区,,25-32k,5-10年大专及以上,微知,|互联网/电商|B轮|500-999人|,孙女士
JAVA中级开发工程师,武汉-江夏区,,18-20k·13薪,3-5年学历不限,武汉铭龙信息技术有限公司,|计算机/网络设备|融资未公开|50-99人|,高女士
Java开发工程师-有赞云外包（武汉）,武汉-洪山区,,10-15k,3-5年大专及以上,有赞,|行业Saas|已上市|2000-5000人|,孙女士
基础平台资深Java工程师,武汉,,18-35k·15薪,5-10年本科及以上,Kyligence,|计算机软件|D轮|100-499人|,马女士
java开发工程师,武汉,,5-8k,1-3年大专及以上,武汉希软科技有限公司,|融资未公开|1-49人|,袁先生
高级java开发工程师（业务线）,武汉-洪山区,,17-23k·14薪,5-10年统招本科,深圳东深电子,|IT服务|100-499人|,张女士
java开发工程师,武汉-洪山区,,8-12k·13薪,1-3年统招本科,上海丕休智能科技有限公司,|IT服务|1-49人|,王女士
Java开发工程师,武汉,,10-15k·15薪,1-3年本科及以上,同元软控,|计算机软件|融资未公开|100-499人|,程女士
java开发工程师,武汉,,8-16k,3-5年统招本科,武汉依迅北斗时空技术股份有限公司,|互联网/电商|战略投资|100-499人|,高先生
JAVA高级开发工程师,武汉,,15-25k·13薪,5-10年大专及以上,湖北普联东文信息科技有限公司,|计算机软件|天使轮|50-99人|,刘女士
java开发工程师,武汉,,12-21k,经验不限本科及以上,武汉慧联无限科技有限公司,|行业Saas|B轮|100-499人|,张先生
java,武汉,,12-24k·16薪,3-5年统招本科,建信金科,|银行|2000-5000人|,马女士
英语口语Java开发工程师,武汉-洪山区,,15-25k·15薪,3-5年统招本科,某大型网络科技有限公司,|互联网/电商|D轮及以上|100-499人|,夏女士
java开发,武汉,,18-35k,3-5年统招本科,某软件系统(深圳)有限公司,|计算机软件|融资未公开|100-499人|,胡先生
java工程师,武汉-洪山区,,18-35k,1-3年统招本科,武汉某上市科技有限公司（互联网大厂）,|互联网/电商|已上市|1000-2000人|,窦先生
java架构师,武汉,,25-50k·15薪,经验不限统招本科,TOP IT厂商,|企业服务软件|融资未公开|5000-10000人|,胡先生
Java开发工程师（武汉）,武汉-东西湖区,,15-30k·15薪,3-5年统招本科,腾讯云计算(武汉)有限责任公司,|互联网/电商|1000-2000人|,张女士
java开发工程师,武汉,,15-30k·18薪,3-5年本科及以上,招联消费金融有限公司,|消费金融|A轮|1000-2000人|,郑女士
java开发工程师,武汉,,16-30k·15薪,3-5年统招本科,国内某知名医疗健康股份有限公司,|医疗信息化|A轮|2000-5000人|,赵女士
java开发工程师,武汉,,10-15k,1-3年本科及以上,信安世纪,|计算机软件|100-499人|,支女士
java开发工程师,武汉-洪山区,,18-30k·14薪,1-3年本科及以上,容联易通信息北京,|互联网/电商|美股上市|100-499人|,乐女士
高级java开发工程师,武汉-洪山区,,15-30k·16薪,3-5年统招本科,某互联网头部大厂企业,|互联网/电商|1000-2000人|,郜先生
java开发工程师,武汉,,18-30k·15薪,一年以下本科及以上,武汉某知名上市企业,|计算机软件|已上市|100-499人|,刘女士
Java后端研发工程师-武汉,武汉-武昌区,,20-40k·14薪,3-5年统招本科,NIO蔚来,|汽车/摩托车|美股上市|10000人以上|,黄女士
Java开发工程师（武汉）,武汉-洪山区,,12-20k·15薪,3-5年统招本科,云霁科技,|云计算|C轮|100-499人|,程女士
java开发工程师,武汉,,10-25k,3-5年本科及以上,华瑞新智科技(北京)有限公司,|计算机软件|其他|50-99人|,张先生
java开发工程师,武汉,,11-16k·14薪,3-5年统招本科,联友科技,|计算机软件|1000-2000人|,章先生
高级Java开发工程师-光谷软件园,武汉,,12-16k,3-5年本科及以上,京北方信息,|IT服务|已上市|10000人以上|,田女士
java开发经理,武汉,,15-23k·14薪,5-10年统招本科,某知名上市集团企业,|电子/芯片/半导体|10000人以上|,高女士
java开发工程师,武汉-江岸区,,10-14k·13薪,3-5年学历不限,某央企施工工程子公司,|计算机软件|融资未公开|2000-5000人|,何女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
java工程师,武汉-江岸区,,10-12k,1-3年统招本科,知名央企,|计算机软件|融资未公开|2000-5000人|,沈先生
后端java开发工程师,武汉-汉阳区,,15-25k·13薪,5-10年统招本科,浙江吉利控股集团,|汽车/摩托车|10000人以上|,郭先生
Java开发工程师,武汉-江夏区,,15-20k·13薪,3-5年统招本科,深圳市明源云科技有限公司,|行业Saas|5000-10000人|,韩女士
高级java工程师,武汉-江夏区,,14-22k·13薪,5-10年大专及以上,天虹商场,|批发零售|10000人以上|,HR
高级Java工程师 20k-40k·15薪,武汉-洪山区,,20-40k·15薪,3-5年统招本科,武汉有联科技有限公司,|计算机软件|50-99人|,苏先生
Java后端开发,武汉,,7-10k,1-3年大专及以上,武汉大学模式动物研究所,|科研及技术服务|100-499人|,杨女士
