职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java开发工程师（东方龙）,上海,,14-18k·14薪,经验不限本科及以上,东方明珠新媒体,|互联网/电商|沪深A股上市|2000-5000人|,吴女士
资深java开发工程师,上海-浦东新区,,25-40k,5-10年本科及以上,中国支付通,|互联网金融|500-999人|,吴女士
java高级开发工程师（上市公司+非996）,上海,,15-30k,3-5年本科及以上,泛微,|计算机软件|沪深A股上市|5000-10000人|,HR
高级Java开发工程师 (职位编号：2021028),上海-徐汇区,,25-30k,5-10年本科及以上,惠每移健(北京)科技有限公司,|医疗信息化|100-499人|,陈女士
高级java工程师,上海-虹口区,,20-30k·16薪,3-5年统招本科,小微环球(上海)科技有限公司,|互联网/电商|1-49人|,HR
研发质效-高级Java开发工程师,上海-长宁区,,25-45k·15薪,5-10年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
高级Java软件工程师,上海,,15-25k,5-10年本科及以上,福玻斯(上海)物联网科技有限公司,|互联网/电商|天使轮|50-99人|,相先生
高级java开发工程师,上海-浦东新区,,18-35k,3-5年本科及以上,中国支付通,|互联网金融|500-999人|,吴女士
Java开发工程师-后端,上海,,15-25k,经验不限本科及以上,欣和,|快消品|5000-10000人|,唐女士
java开发工程师,上海,,6-12k·13薪,3-5年统招本科,上海孚恩电子科技有限公司,|电子/芯片/半导体|100-499人|,冯先生
高级java工程师,上海,,面议,3-5年本科及以上,德邦证券,|基金/证券/投资|2000-5000人|,李先生
高级Java开发工程师,上海-徐汇区,,20-35k,5-10年本科及以上,大象云,|计算机软件|A轮|100-499人|,严女士
java开发工程师,上海-闵行区,,15-25k·13薪,3-5年统招本科,美莱投资,|互联网金融|50-99人|,刘女士
java 资深开发工程师,上海,,30-40k,5-10年统招本科,德邦证券,|基金/证券/投资|2000-5000人|,李先生
高级Java,上海,,18-35k·13薪,3-5年本科及以上,上海鑫谊麟禾科技有限公司,|电子商务|C轮|1000-2000人|,HR
java工程师,上海-静安区,,13-15k·13薪,1-3年统招本科,爱康企业集团(上海)有限公司,|原材料加工|2000-5000人|,曲女士
后端JAVA开发工程师,上海-静安区,,15-20k·14薪,经验不限本科及以上,上海弼博信息技术有限公司,|互联网/电商|100-499人|,奚女士
核心Java开发工程师,上海,,20-35k,3-5年本科及以上,上海量锐信息科技有限公司,|计算机软件|B轮|100-499人|,张女士
java开发工程师,上海-闵行区,,20-40k,3-5年本科及以上,易路软件,|互联网招聘|C轮|100-499人|,HR
高级Java开发工程师(TJ0001),上海-浦东新区,,15-20k,5-10年统招本科,万得,|互联网/电商|其他|2000-5000人|,姚女士
java高级开发（直播、社交方向）,上海-闵行区,,20-35k,5-10年本科及以上,上海播呗网络科技有限公司,|社交网络|融资未公开|500-999人|,刘先生
JAVA开发工程师（支付）-YEX,上海-闵行区,,15-25k·13薪,3-5年统招本科,美莱投资,|互联网金融|50-99人|,刘女士
Senior Java Developer,上海,,面议,5-10年本科及以上,恩梯梯数据(中国),|IT服务|2000-5000人|,李女士
JAVA工程师,上海,,10-15k,3-5年本科及以上,上海商涌科技有限公司,|互联网/电商|C轮|50-99人|,陈女士
java开发,上海,,17-25k·13薪,3-5年本科及以上,某港股上市公司,|互联网/电商|已上市|5000-10000人|,夏女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java开发工程师,上海-虹口区,,23-45k·14薪,3-5年统招本科,国内某大型互联网公司,|互联网/电商|不需要融资|1000-2000人|,郑先生
后端java工程师,上海-青浦区,,18-25k·13薪,3-5年统招本科,国内知名物流公司,|物流信息化|融资未公开|10000人以上|,蒋先生
Java开发工程师,上海,,21-42k,3-5年统招本科,国内某智能科技公司,|互联网/电商|100-499人|,余先生
Java技术架构师,上海-杨浦区,,40-55k·16薪,经验不限统招本科,某大型上市金融公司,|基金/证券/投资|10000人以上|,荣先生
后端java专家/高级专家,上海-普陀区,,40-70k·16薪,5-10年本科及以上,阿里,|互联网/电商|战略融资|10000人以上|,陈先生
后端java工程师,上海,,25-40k·16薪,3-5年硕士及以上,某头部券商,|互联网金融|已上市|5000-10000人|,李女士
高级java开发工程师,上海,,25-40k·16薪,3-5年统招本科,某头部券商,|互联网金融|已上市|5000-10000人|,李女士
java高级开发工程师_华泰证券_年终奖丰厚,上海-浦东新区,,20-40k,3-5年统招本科,知名证券公司,|基金/证券/投资|已上市|5000-10000人|,张女士
Java开发工程师_华泰证券_TOP5公司,上海-浦东新区,,20-40k,3-5年统招本科,知名证券公司,|基金/证券/投资|已上市|5000-10000人|,张女士
Java开发工程师_华泰证券_甲方,上海-浦东新区,,20-40k,3-5年统招本科,知名证券公司,|基金/证券/投资|已上市|5000-10000人|,张女士
java开发工程师,上海-黄浦区,,20-26k·13薪,3-5年学历不限,国企智慧科技公司,|能源/水利|战略融资|50-99人|,史女士
java开发（不限方向）朝九晚五拒绝加班,上海-闵行区,,20-35k,3-5年统招本科,上海泛微网络科技股份有限公司,|计算机软件|1000-2000人|,彭先生
java开发,上海,,20-30k,3-5年学历不限,某知名量化私募公司,|基金/证券/投资|100-499人|,蔡女士
后端java开发工程师,上海-闵行区,,25-50k,3-5年统招本科,上海某科技公司,|互联网/电商|已上市|5000-10000人|,李女士
高级Java工程师/技术经理（架构师）,上海,,30-55k·13薪,5-10年统招本科,锐锢商城,|互联网/电商|C轮|1000-2000人|,丁先生
Java,上海,,25-50k·15薪,经验不限统招本科,知名互联网公司,|互联网/电商|已上市|1000-2000人|,盛女士
Java开发工程师,上海,,25-50k·13薪,3-5年统招本科,财富中国500强,|互联网/电商|战略融资|5000-10000人|,鲁先生
资深java后端开发工程师,上海-黄浦区,,35-65k·18薪,5-10年统招本科,某公司,|互联网/电商|已上市|2000-5000人|,张先生
资深java工程师,上海-黄浦区,,25-40k·14薪,5-10年本科及以上,某高潜科技公司,|计算机软件|100-499人|,沈女士
高级java开发架构师,上海,,50-80k,5-10年本科及以上,某药业公司,|制药/生物工程|1000-2000人|,汪女士
高级java开发工程师,上海,,20-40k·20薪,经验不限统招本科,某头部券商,|基金/证券/投资|500-999人|,王女士
高级java开发工程师,上海-徐汇区,,25-35k,3-5年统招本科,大型互联网公司,|互联网/电商|已上市|5000-10000人|,王先生
资深JAVA架构师（上海）,上海,,35-55k·13薪,5-10年本科及以上,金融服务公司,|互联网金融|1000-2000人|,黄先生
java高级开发工程师,上海-浦东新区,,20-25k·14薪,3-5年统招本科,福特汽车(中国)有限公司,|新能源/电动汽车|其他|10000人以上|,宋女士
java,上海,,50-80k,5-10年统招本科,知名上市互联网公司,|广告/市场/会展|已上市|5000-10000人|,汪女士
JAVA高级开发工程师,上海,,20-30k·24薪,3-5年统招本科,国内知名头部券商公司,|基金/证券/投资|已上市|5000-10000人|,梁先生
高级JAVA开发工程师（P6-P7）,上海-徐汇区,,25-45k·16薪,3-5年统招本科,某头部互联网公司,|互联网/电商|10000人以上|,万先生
资深java工程师,上海,,25-50k·14薪,5-10年本科及以上,国内知名互联网公司,|互联网/电商|已上市|10000人以上|,侯先生
Java开发工程师,上海,,50-60k·14薪,1-3年统招本科,中国知名的互联网公司,|互联网/电商|5000-10000人|,张女士
高级java工程师,上海,,25-45k,5-10年统招本科,某一线互联网金融公司,|互联网/电商|不需要融资|500-999人|,颜女士
java后端工程师,上海-虹口区,,13-26k,3-5年本科及以上,福寿康,|医疗服务|A轮|5000-10000人|,张先生
java开发（不限方向）,上海-闵行区,,20-40k·15薪,3-5年统招本科,上海泛微,|OA协同|已上市|5000-10000人|,李女士
Java Tech lead,上海,,30-45k·13薪,10年以上本科及以上,IT行业美资上市企业,|互联网/电商|2000-5000人|,毛先生
Java后端开发,上海,,15-25k·16薪,3-5年统招本科,某知名日本家电企业,|互联网+|2000-5000人|,丁先生
500强集团java开发工程师,上海,,20-30k·17薪,3-5年统招本科,全国连锁猎头集团,|互联网+|C轮|100-499人|,嵇女士
高级java开发工程师,上海-杨浦区,,25-40k·15薪,5-10年统招本科,国泰产险,|互联网保险|战略融资|500-999人|,刘先生
高级java开发工程师,上海,,25-50k·16薪,3-5年学历不限,某知名互联网公司,|互联网/电商|100-499人|,张女士
# 237747 JAVA高级开发工程师-上海/深圳/北京,上海,,20-40k·20薪,经验不限本科及以上,某知名证券公司,|基金/证券/投资|10000人以上|,康女士
Java开发工程师,上海,,12-20k·13薪,3-5年本科及以上,锐锢商城,|互联网/电商|C轮|1000-2000人|,丁先生
java,上海,,20-40k·14薪,5-10年本科及以上,某科技股份有限公司,|互联网/电商|1000-2000人|,仲女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Support Engineer - Java,上海,,30-50k,5-10年统招本科,外资科技公司,|企业服务软件|500-999人|,仝女士
风控Java架构师,上海,,50-70k·16薪,经验不限统招本科,潮牌购物APP,|互联网+|B轮|1000-2000人|,刘女士
高级java工程师,上海-浦东新区,,20-30k·24薪,3-5年统招本科,国内知名证券公司,|基金/证券/投资|已上市|1000-2000人|,曾先生
java开发,上海,,40-45k·20薪,经验不限统招本科,知名公募基金公司,|基金|2000-5000人|,潘女士
java开发工程师,上海-静安区,,15-30k·19薪,1-3年统招本科,上海某国资背景非银行金融机构,|银行|战略融资|500-999人|,邢女士
Java专家/Java高级专家（用车体验技术）,上海,,80-100k,5-10年统招本科,某出行公司,|出行服务|D轮及以上|5000-10000人|,黄先生
资深Java开发工程师/Java技术专家(用户),上海,,40-65k·16薪,5-10年统招本科,某互联网公司,|互联网/电商|500-999人|,王先生
java工程师,上海,,12-20k·14薪,经验不限本科及以上,肿瘤精准医疗服务平台,|医疗/保健/美容|B轮|100-499人|,陈先生
大数据开发工程师（精通JAVA开发-广告平台方向）,上海,,40-70k,3-5年统招本科,某知名公司,|互联网保险|已上市|2000-5000人|,王女士
软件开发工程师-后端开发Java,上海,,15-25k·20薪,3-5年统招本科,某国有大型券商,|证券|500-999人|,杨女士
