职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
JAVA服务器开发工程师,北京-海淀区,,15-30k·14薪,1-3年统招本科,智米科技,|家具/家电|100-499人|,王女士
后端开发工程师(java 高级),北京-石景山区,,20-30k·14薪,5-10年本科及以上,北京赛昇科技有限公司,|专业服务|50-99人|,罗女士
java工程师,北京,,16-26k,3-5年本科及以上,北京深度创远教育科技有限公司,|交通/物流/运输|B轮|100-499人|,刘女士
java,北京,,11-20k,3-5年大专及以上,中软联动,|IT服务|融资未公开|100-499人|,马女士
java中级开发工程师,北京-朝阳区,,15-25k,3-5年统招本科,金州水务集团,|环保|500-999人|,王先生
java工程师,北京-海淀区,,10-20k·13薪,3-5年本科及以上,北京世纪瑞尔技术股份有限公司,|安全监控|沪深A股上市|100-499人|,刘女士
java,北京-昌平区,,8-13k,经验不限大专及以上,阁瑞钛伦特软件(北京)有限公司,|计算机软件|融资未公开|100-499人|,徐先生
java工程师,北京-平谷区,,8-13k,经验不限大专及以上,阁瑞钛伦特软件(北京)有限公司,|计算机软件|融资未公开|100-499人|,秦女士
java工程师,北京-昌平区,,8-13k,经验不限大专及以上,阁瑞钛伦特软件(北京)有限公司,|计算机软件|融资未公开|100-499人|,张先生
JAVA开发(CC财税研发部）(001185),北京,,25-30k·13薪,5-10年本科及以上,畅捷通信息技术股份有限公司,|互联网/电商|已上市|500-999人|,郭女士
java工程师,北京-东城区,,8-13k,经验不限大专及以上,阁瑞钛伦特软件(北京)有限公司,|计算机软件|融资未公开|100-499人|,徐女士
java,北京-东城区,,10-13k,经验不限大专及以上,北京迈捷映博科技有限公司,|电子商务|100-499人|,梁女士
java工程师,北京-房山区,,8-13k,经验不限大专及以上,北京迈捷映博科技有限公司,|电子商务|100-499人|,熊女士
Java开发工程师,北京,,15-20k,3-5年本科及以上,海布络数据科技(北京)有限公司,,吴女士
java工程师,北京-顺义区,,10-15k,一年以下大专及以上,北京迈捷映博科技有限公司,|电子商务|100-499人|,郭先生
java工程师,北京-大兴区,,10-15k,一年以下大专及以上,阁瑞钛伦特软件(北京)有限公司,|计算机软件|融资未公开|100-499人|,秦女士
java工程师,北京-海淀区,,9-14k,一年以下大专及以上,国商大通(北京)国际拍卖有限公司,|信托/担保/拍卖|1-49人|,尚先生
技术专家/java高级开发工程师,北京-朝阳区,,30-60k·15薪,3-5年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
Java开发工程师,北京,,9-15k·14薪,1-3年本科及以上,东方口岸,|互联网/电商|100-499人|,白先生
java工程师,北京,,10-20k·13薪,经验不限本科及以上,北京欧陆聚信科技有限公司,|计算机软件|融资未公开|1-49人|,宗先生
Java开发工程师,北京-海淀区,,11-22k,经验不限本科及以上,点聚,|计算机软件|融资未公开|100-499人|,谢先生
Java技术支持,北京-海淀区,,9-18k,1-3年大专及以上,点聚,|计算机软件|融资未公开|100-499人|,谢先生
java开发,北京-海淀区,,10-15k,3-5年本科及以上,北京中电方大科技股份有限公司,|能源/水利|融资未公开|100-499人|,许女士
JAVA开发工程师(J30752),北京-大兴区,,15-20k,5-10年本科及以上,京东方,|电子/芯片/半导体|沪深A股上市|10000人以上|,姜女士
java开发工程师,北京-大兴区,,20-40k·15薪,5-10年本科及以上,沙龙智行科技有限公司,|新能源/电动汽车|100-499人|,周女士
java开发工程师,北京,,10-15k,1-3年大专及以上,艾体威尔,|IT服务|500-999人|,陈先生
Java开发工程师(J12898),北京-海淀区,,13-22k·13薪,3-5年统招本科,天融信科技,|计算机软件|2000-5000人|,赵女士
Java,北京-大兴区,,70-100k·15薪,10年以上统招本科,京东商城,|互联网/电商|已上市|10000人以上|,徐先生
java工程师,北京,,10-15k·13薪,1-3年大专及以上,艾体威尔,|IT服务|500-999人|,陈先生
高级java开发工程师,北京,,20-35k,5-10年统招本科,北京捷通华声科技股份有限公司,|互联网/电商|D轮|100-499人|,沈女士
Java开发工程师（中高级）,北京-海淀区,,15-25k,3-5年本科及以上,致远互联,|计算机软件|已上市|1000-2000人|,李女士
java工程师,北京-大兴区,,15-30k·14薪,3-5年统招本科,中体数科,|互联网体育|50-99人|,李女士
java开发工程师,北京-朝阳区,,12-20k,3-5年统招本科,中软国际科技,|IT服务|10000人以上|,张女士
Java开发工程师,北京-石景山区,,10-20k,1-3年本科及以上,赛意信息,|计算机软件|创业板上市|2000-5000人|,黄女士
java工程师,北京-昌平区,,20-30k,5-10年本科及以上,北京博晖创新生物技术股份有限公司,|制药/生物工程|沪深A股上市|500-999人|,HR
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
高级java开发工程师,北京,,15-30k·13薪,5-10年统招本科,畅捷通信息技术股份有限公司,|互联网/电商|已上市|500-999人|,郭女士
java高级开发工程师,北京,,15-30k·13薪,5-10年统招本科,畅捷通信息技术股份有限公司,|互联网/电商|已上市|500-999人|,郭女士
医药-资深Java工程师（智能门店方向）,北京-朝阳区,,24-40k·15薪,3-5年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
高级Java研发工程师,北京-朝阳区,,30-45k·15薪,3-5年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
Java高级开发工程师,北京-朝阳区,,25-45k·15薪,3-5年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
Java架构师/Dev Lead,北京,,25-50k·13薪,10年以上大专及以上,凯捷咨询(中国)有限公司,|专业服务|2000-5000人|,沙女士
java,北京-海淀区,,25-40k·16薪,3-5年统招本科,山西秦锐企业管理咨询有限公司,|人力资源|1-49人|,刘女士
Java全栈开发工程师,北京,,12-20k,1-3年本科及以上,大信会计师事务所(特殊普通合伙),|会计/审计|2000-5000人|,李女士
高级Java全栈开发工程师,北京,,20-35k,5-10年本科及以上,大信会计师事务所(特殊普通合伙),|会计/审计|2000-5000人|,李女士
java后端研发资深工程师,北京-朝阳区,,28-40k·15薪,3-5年本科及以上,美团,|互联网/电商|港股上市|10000人以上|,李女士
高级Java架构师,北京,,25-40k,5-10年本科及以上,紫光电子商务有限公司,|IT服务|500-999人|,乔女士
