职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
Java开发工程师,深圳,,15-30k,3-5年本科及以上,善筑控股集团有限公司,|房产服务|其他|100-499人|,雷女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
EAM项目部Java开发组长,深圳-龙华区,,18-23k·13薪,5-10年本科及以上,赛意信息,|计算机软件|创业板上市|2000-5000人|,黄女士
中高级java工程师,深圳-福田区,,15-20k·13薪,3-5年大专及以上,宝德融资租赁(上海)有限公司,|租赁服务|1000-2000人|,岳女士
JAVA工程师（中高级）,深圳,,15-30k·15薪,3-5年统招本科,深圳市锐明技术股份有限公司,|智能安防|已上市|1000-2000人|,吴女士
Java开发工程师,深圳-南山区,,15-30k·13薪,3-5年本科及以上,广州润信商业保理有限责任公司,|互联网金融|100-499人|,易女士
java开发工程师,深圳,,15-23k·13薪,5-10年大专及以上,安必快科技(深圳)有限公司,|互联网/电商|50-99人|,李女士
java开发工程师,深圳,,12-20k,3-5年大专及以上,深圳市睿服科技有限公司,|IT服务|融资未公开|500-999人|,邹女士
java高级开发工程师,深圳-福田区,,15-30k·18薪,3-5年统招本科,山西证券股份有限公司,|基金/证券/投资|已上市|1000-2000人|,郑先生
后台开发Java,深圳-南山区,,15-30k·14薪,3-5年统招本科,EcoFlow正浩创新,|新能源|B轮|500-999人|,陈女士
java开发工程师,深圳-南山区,,18-25k,3-5年统招本科,海恒智能,|互联网/电商|100-499人|,饶女士
Java开发工程师（研发工程运维团队）,深圳,,16-35k·14薪,5-10年统招本科,金蝶,|互联网/电商|已上市|5000-10000人|,余女士
java开发工程师,深圳-福田区,,15-25k,3-5年统招本科,南京翼海云峰软件技术有限公司,|计算机软件|100-499人|,潘女士
java开发工程师,深圳,,8-14k,3-5年本科及以上,联想信息产品(深圳)有限公司,|计算机/网络设备|融资未公开|1000-2000人|,曹女士
资深java开发工程师,深圳,,25-45k·15薪,10年以上统招本科,美的集团IoT公司,|人工智能|100-499人|,王女士
搜索服务器开发工程师/专家（Java）(012570),深圳,,70-100k,经验不限统招本科,vivo,|通信业|10000人以上|,骆先生
java开发工程师,深圳,,13-23k,5-10年本科及以上,深圳市芯智科技有限公司,|电子/芯片/半导体|港股上市|100-499人|,胡女士
高级java工程师,深圳-南山区,,30-50k·15薪,5-10年统招本科,飞鸟创想,|专业服务|1-49人|,于先生
业务系统分析师(JAVA方向),深圳,,18-30k·13薪,5-10年本科及以上,深圳市悦汇商业控股有限公司,|批发零售|500-999人|,徐女士
集成平台java工程师,深圳-南山区,,20-25k·14薪,3-5年大专及以上,纷享销客,|电子商务|战略投资|500-999人|,刘女士
资深java工程师,深圳-罗湖区,,30-60k·17薪,5-10年本科及以上,深圳平安综合金融服务有限公司,|基金/证券/投资|10000人以上|,刘女士
java开发工程师,深圳-龙岗区,,12-15k,1-3年本科及以上,BOTSOFT,|计算机软件|融资未公开|500-999人|,梁女士
java架构师（带团队、技术经理）,深圳-福田区,,60-90k,10年以上统招本科,深圳华秋电子有限公司,|电子商务|C轮|500-999人|,吕先生
java开发工程师,深圳-南山区,,15-30k,3-5年本科及以上,大族激光,|机械/机电/重工|已上市|10000人以上|,王女士
java开发工程师,深圳-南山区,,13-20k,1-3年统招本科,思迪信息,|计算机软件|B轮|500-999人|,岑女士
java开发,深圳,,13-18k,3-5年大专及以上,文思海辉,|计算机软件|10000人以上|,熊先生
Java开发高级工程师 4300072,深圳-南山区,,12-24k·13薪,1-3年本科及以上,富士康工业互联网股份有限公司,|计算机软件|沪深A股上市|10000人以上|,王先生
java开发工程师,深圳,,18-35k·14薪,5-10年统招本科,金蝶,|互联网/电商|已上市|5000-10000人|,余女士
java开发工程师,深圳-南山区,,20-30k·13薪,5-10年统招本科,爱德数智,|企业服务软件|500-999人|,林先生
Java开发工程师,深圳-南山区,,18-25k,5-10年大专及以上,海南自贸区椰云网络科技有限公司,|互联网+|天使轮|50-99人|,马女士
java开发（13薪）,深圳-南山区,,14-23k·13薪,3-5年大专及以上,易宝软件科技(南京)有限公司,|互联网/电商|1000-2000人|,蓝女士
java开发工程师,深圳-南山区,,15-25k·14薪,3-5年统招本科,欢句直播,|互联网/电商|A轮|100-499人|,邱女士
java,深圳,,20-40k·17薪,3-5年本科及以上,深圳平安综合金融服务有限公司,|基金/证券/投资|10000人以上|,闫女士
中高级Java工程师,深圳,,16-30k,3-5年本科及以上,深圳市东进技术股份有限公司,|网络安全|100-499人|,梅女士
中高级Java工程师,深圳,,20-30k·13薪,5-10年本科及以上,深圳索信达数据技术有限公司,|大数据行业应用|500-999人|,方女士
Java开发工程师,深圳,,10-18k·13薪,1-3年本科及以上,越海,|仓储服务|A轮|1000-2000人|,祝女士
高级java开发工程师,深圳,,25-40k,5-10年本科及以上,深圳市快捷舰供应链管理有限公司,|交通/物流/运输|100-499人|,王先生
Java研发专家(J10033),深圳,,26-40k,5-10年统招本科,华锐金融技术,|证券|500-999人|,宋先生
高级Java开发经理（管理岗）,深圳-罗湖区,,22-28k·13薪,10年以上大专及以上,深圳吉胜物业管理有限公司,|物业管理|1000-2000人|,陈女士
高级JAVA工程师,深圳-南山区,,10-25k·14薪,5-10年本科及以上,丽珠医药集团股份有限公司,|制药/生物工程|港股上市|10000人以上|,黄女士
中级Java软件工程师,深圳,,20-30k·15薪,3-5年本科及以上,深圳市东进技术股份有限公司,|网络安全|100-499人|,梅女士
产险JAVA开发岗(J10200),深圳,,8-15k,3-5年本科及以上,富德保险控股股份有限公司,|保险|10000人以上|,李先生
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
产险JAVA开发岗(J10200),深圳,,8-15k,3-5年本科及以上,富德保险控股股份有限公司,|保险|10000人以上|,李先生
产险JAVA开发岗(J10200),深圳-龙岗区,,8-15k·15薪,1-3年统招本科,富德保险控股股份有限公司,|保险|10000人以上|,李先生
Java开发工程师,深圳-龙岗区,,12-16k,1-3年统招本科,BOTSOFT,|计算机软件|融资未公开|500-999人|,廖女士
Java开发工程师,深圳-南山区,,10-15k,3-5年本科及以上,友华通信,|通信业|500-999人|,陈女士
java软件工程师,深圳-南山区,,10-15k,3-5年统招本科,友华通信,|通信业|500-999人|,陈女士
中级Java开发工程师 (职位编号：2021040),深圳-宝安区,,10-15k,3-5年本科及以上,惠每移健(北京)科技有限公司,|医疗信息化|100-499人|,陈女士
Java开发工程师（深圳）,深圳,,10-15k·13薪,3-5年大专及以上,网新恩普,|计算机软件|已上市|1000-2000人|,洪女士
Java软件工程师（CLOU-DNB007）,深圳-南山区,,12-20k,3-5年统招本科,科陆电子,|新能源|已上市|2000-5000人|,罗女士
高级Java开发工程师 (MJ000440),深圳-南山区,,20-40k·14薪,5-10年统招本科,和讯华谷,|互联网/电商|美股上市|500-999人|,江女士
高级Java工程师（PaaS）,深圳-南山区,,14-28k,5-10年本科及以上,云度新能源汽车,|汽车/摩托车|融资未公开|1000-2000人|,涂先生
Java开发工程师(J10621),深圳-南山区,,10-20k·14薪,经验不限本科及以上,北京三维天地科技股份有限公司,|计算机软件|500-999人|,HR
Java开发工程师（YF-2021）,深圳-南山区,,20-40k,5-10年统招本科,深圳市万邑通信息科技有限公司,|跨境物流|2000-5000人|,付女士
高级java工程师,深圳-福田区,,30-45k·14薪,5-10年统招本科,中证信用,|基金/证券/投资|500-999人|,吕女士
高级java工程师,深圳-南山区,,18-28k,5-10年本科及以上,瑞为技术,|计算机视觉|C轮|100-499人|,陈女士
Java开发工程师,深圳-福田区,,15-23k·14薪,3-5年大专及以上,盛业资本,|融资|其他|100-499人|,孙先生
高级Java开发+大数据工程师,深圳,,20-35k·13薪,5-10年本科及以上,深圳索信达数据技术有限公司,|大数据行业应用|500-999人|,刘女士
Java 工程师,深圳-福田区,,15-30k,3-5年本科及以上,上海弼博信息技术有限公司,|互联网/电商|100-499人|,奚女士
Java开发工程师,深圳,,14-18k,1-3年本科及以上,来电科技,|O2O服务|B轮|2000-5000人|,胡先生
高级java开发工程师,深圳,,20-30k,3-5年本科及以上,国双科技,|互联网/电商|已上市|1000-2000人|,龙先生
JAVA高级工程师,深圳-南山区,,10-15k,3-5年统招本科,优博讯,|计算机软件|沪深A股上市|1000-2000人|,吴先生
java开发工程师,深圳,,10-15k,3-5年大专及以上,深圳六桂盛世珠宝首饰有限公司,|珠宝/玩具/工艺品|500-999人|,HR
Java开发工程师（高级）,深圳-罗湖区,,15-22k·13薪,5-10年大专及以上,深圳吉胜物业管理有限公司,|物业管理|1000-2000人|,陈女士
高级java开发工程师,深圳,,20-35k·13薪,3-5年本科及以上,深圳索信达数据技术有限公司,|大数据行业应用|500-999人|,刘女士
Java开发工程师（海外研发部）,深圳-福田区,,15-25k,3-5年本科及以上,太平金融科技服务(上海)有限公司,|保险|1000-2000人|,HR
Java工程师,深圳,,14-25k·13薪,3-5年统招本科,前海泽金,|计算机软件|A轮|50-99人|,周女士
Java开发工程师(J10367),深圳-南山区,,8-12k·14薪,1-3年大专及以上,昂楷科技,|计算机软件|C轮|100-499人|,刘女士
Java开发工程师,深圳,,10-15k,1-3年大专及以上,懒人畅听,|互联网/电商|C轮|100-499人|,沈女士
JAVA开发工程师,深圳-福田区,,15-20k·13薪,3-5年统招本科,深圳优艾智合机器人科技有限公司,|机器人|A轮|100-499人|,丁女士
JAVA高级开发工程师,深圳-龙岗区,,18-23k,3-5年统招本科,深圳高度创新技术有限公司,|无人机|50-99人|,和先生
高级JAVA开发工程师,深圳-龙岗区,,15-20k,3-5年统招本科,深圳高度创新技术有限公司,|无人机|50-99人|,和先生
JAVA开发工程师,深圳,,12-30k,1-3年统招本科,海恒智能,|互联网/电商|100-499人|,刘女士
Java高级架构师(J10064),深圳,,30-60k,5-10年统招本科,华锐金融技术,|证券|500-999人|,宋先生
Java 软件开发工程师,深圳-盐田区,,8-16k,1-3年本科及以上,华大集团,|制药/生物工程|创业板上市|5000-10000人|,马女士
JAVA开发工程师（深圳）(J11035),深圳,,10-22k·13薪,3-5年本科及以上,高新兴科技集团股份有限公司,|IT服务|已上市|2000-5000人|,吕女士
高级Java工程师（架构方向）,深圳-福田区,,25-40k·14薪,5-10年统招本科,中证信用,|基金/证券/投资|500-999人|,吕女士
java开发工程师,深圳-罗湖区,,16-20k,5-10年统招本科,顺电,|批发零售|新三板上市|2000-5000人|,黎女士
中级Java开发工程师(J10306),深圳,,12-20k·14薪,3-5年大专及以上,昂楷科技,|计算机软件|C轮|100-499人|,刘女士
java项目经理,深圳-龙岗区,,15-25k,5-10年本科及以上,软通动力技术服务,|互联网/电商|10000人以上|,赵先生
Java开发工程师,深圳,,8-15k,1-3年本科及以上,深圳市冠旭电子股份有限公司,|电子/芯片/半导体|1000-2000人|,张女士
Java高级开发工程师,深圳-南山区,,10-25k,3-5年本科及以上,中海物业,|物业管理|10000人以上|,王女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
后端java开发工程师,深圳-南山区,,12-18k,3-5年大专及以上,南山区某智能控制上市公司,|互联网+|已上市|2000-5000人|,张煌光
Java开发工程师,深圳-南山区,,15-30k·14薪,5-10年统招本科,某港股上市公司,|互联网/电商|融资未公开|5000-10000人|,潘女士
中级java开发工程师,深圳,,15-25k·14薪,3-5年统招本科,PatPat,|互联网/电商|D轮及以上|1000-2000人|,冉先生
Java开发工程师,深圳,,20-40k·14薪,3-5年统招本科,某大型500强上市互联网企业,|通信业|100-499人|,李先生
高级java开发工程师,深圳-南山区,,25-45k·15薪,5-10年统招本科,某知名公司,|游戏平台|C轮|100-499人|,吴女士
java中高级开发工程师,深圳-福田区,,17-25k·13薪,5-10年统招本科,深圳某信息科技公司,|计算机软件|1000-2000人|,李女士
