职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
高级Java工程师,北京-海淀区,,20-40k-13薪,---5-10年--统招本科-,清云智通(北京)科技有限公司,-IT服务-50-99人-,张女士
Java工程师,北京-海淀区,,15-30k-13薪,---3-5年--统招本科-,清云智通(北京)科技有限公司,-IT服务-50-99人-,张女士
高级java开发工程师,北京,,20-35k,---5-10年--统招本科-,北京捷通华声科技股份有限公司,-互联网/电商-D轮-100-499人-,沈女士
java中级开发工程师,北京-东城区,,50-60k,---5-10年--大专及以上-,北京王元具智能技术有限公司,-专业服务-1-49人-,杨女士
Java开发工程师,北京-朝阳区,,20-40k-15薪,---3-5年--本科及以上-,亿咖通,-计算机/网络设备-B轮-1000-2000人-,石先生
java开发工程师,北京-朝阳区,,12-20k,---3-5年--统招本科-,中软国际科技,-IT服务-10000人以上-,张女士
Java开发工程师,北京-石景山区,,10-20k,---1-3年--本科及以上-,赛意信息,-计算机软件-创业板上市-2000-5000人-,黄女士
高级java工程师,北京-朝阳区,,15-30k,---3-5年--本科及以上-,北京金陵华新投资管理有限公司,-基金/证券/投资-融资未公开-100-499人-,强女士
高级Java研发工程师,北京-朝阳区,,30-45k-15薪,---3-5年--本科及以上-,美团,-互联网/电商-港股上市-10000人以上-,李女士
Java架构师/Dev Lead,北京,,25-50k-13薪,---10年以上--大专及以上-,凯捷咨询(中国)有限公司,-专业服务-2000-5000人-,沙女士
java开发工程师,北京,,15-25k-13薪,---5-10年--本科及以上-,南天软件,-计算机软件-1000-2000人-,张女士
java工程师,北京-朝阳区,,面议,---3-5年--本科及以上-,北京赛锋科技有限公司,-计算机软件-100-499人-,王先生
Java,北京,,15-25k,---5-10年--统招本科-,汇成基金,-基金-50-99人-,由女士
java开发工程师,北京,,20-40k-14薪,---3-5年--本科及以上-,奇安信集团,-互联网/电商-已上市-5000-10000人-,陈女士
高级java工程师,北京-东城区,,24-28k,---5-10年--统招本科-,北京汉唐众联科技有限公司,-人力资源-100-499人-,李先生
月薪20K java开发工程师,北京-朝阳区,,17-20k-13薪,---3-5年--统招本科-,泓信供应链,-互联网/电商-D轮-500-999人-,李先生
java架构师,北京,,20-40k-13薪,---5-10年--本科及以上-,中科创达软件股份有限公司,-计算机/网络设备-已上市-5000-10000人-,张女士
java研发工程师,北京,,20-40k-14薪,---3-5年--统招本科-,奇安信集团,-互联网/电商-已上市-5000-10000人-,陈女士
java开发工程师,北京-顺义区,,15-25k-15薪,---1-3年--统招本科-,康吉森股份,-石油/化工-港股上市-1000-2000人-,付女士
java开发工程师,北京,,15-25k,---1-3年--统招本科-,清科财务管理咨询（北京）有限公司,-基金/证券/投资-100-499人-,张女士
平台软件开发工程师（java）,北京,,20-35k-13薪,---3-5年--硕士及以上-,海博思创,-新能源-500-999人-,张女士
java开发工程师,北京,,15-25k,---3-5年--大专及以上-,嘉和美康,-计算机软件-D轮-1000-2000人-,范女士
高级java开发工程师,北京-海淀区,,30-40k,---10年以上--本科及以上-,Baicells 佰才邦,-通信业-100-499人-,周先生
高级Java工程师(J13593),北京,,20-40k-15薪,---5-10年--统招本科-,明略科技集团,-互联网/电商-D轮-2000-5000人-,王女士
Java开发工程师 (MJ004290),北京-海淀区,,18-25k-13薪,---3-5年--统招本科-,欢聚集团,-互联网/电商-美股上市-2000-5000人-,曾女士
美团骑行-高级java研发工程师-单车运力方向,北京-朝阳区,,25-50k-15薪,---5-10年--本科及以上-,美团,-互联网/电商-港股上市-10000人以上-,李女士
java工程师,北京-朝阳区,,15-20k,---3-5年--本科及以上-,北京仁科信息技术有限公司,-互联网/电商-50-99人-,赵女士
Java工程师,北京-朝阳区,,25-40k-15薪,---5-10年--统招本科-,极智嘉科技,-智能硬件-C轮-500-999人-,王先生
java中级-工程师,北京,,12-15k,---3-5年--统招本科-,中科软,-计算机软件-已上市-5000-10000人-,尹女士
月薪24K java开发,北京-朝阳区,,20-25k-13薪,---5-10年--本科及以上-,泓信供应链,-互联网/电商-D轮-500-999人-,李先生
java中级工程师,北京,,12-15k,---3-5年--本科及以上-,中科软,-计算机软件-已上市-5000-10000人-,尹女士
JAVA初级工程师,北京,,10-12k,---1-3年--本科及以上-,中科软,-计算机软件-已上市-5000-10000人-,尹女士
java开发工程师（双休，不加班）,北京-海淀区,,15-25k-13薪,---3-5年--统招本科-,天瑞集团,-采掘/冶炼/矿产-10000人以上-,赵女士
JAVA开发工程师,北京-海淀区,,15-20k-13薪,---1-3年--本科及以上-,北京朗玛数联科技有限公司,-社交网络-100-499人-,蒋先生
搜索服务器开发工程师/专家（Java）(012570),北京,,70-100k,---经验不限--统招本科-,vivo,-通信业-10000人以上-,骆先生
高级Java开发工程师,北京-朝阳区,,18-23k-14薪,---5-10年--本科及以上-,蒙牛,-快消品-10000人以上-,陈先生
JAVA开发工程师（北京）(J11798),北京-朝阳区,,12-26k,---1-3年--本科及以上-,高新兴科技集团股份有限公司,-IT服务-已上市-2000-5000人-,吕女士
java高级开发工程师,北京-大兴区,,30-50k-14薪,---5-10年--统招本科-,京东科技集团,-人工智能-10000人以上-,白女士
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Java工程师——4人,北京,,15-20k,---3-5年--统招本科-,北京微星优财网络科技有限公司,-基金-50-99人-,马女士
