职位名称,工作地点,招聘状态,参考薪资,学历经验,公司名称,公司信息,联系人
高级应用软件工程师（Java）,苏州-工业园区,,12-18k,3-5年统招本科,库力索法,|电子/芯片/半导体|1000-2000人|,居女士
java开发工程师,苏州,,15-18k,5-10年本科及以上,苏州立顺智能科技有限公司,|专业服务|1-49人|,曹女士
Java开发工程师（苏州）,苏州,,12-17k,3-5年大专及以上,京北方信息,|IT服务|已上市|10000人以上|,缪女士
java工程师（项目制非外包）,苏州,,12-25k·13薪,3-5年大专及以上,赛意信息,|计算机软件|创业板上市|2000-5000人|,时先生
java软件高级工程师,苏州,,10-12k,经验不限硕士及以上,睿逸智能科技(苏州)有限公司,|互联网/电商|,贾先生
java开发工程师,苏州-工业园区,,11-25k,3-5年统招本科,软通动力技术服务,|互联网/电商|10000人以上|,孙女士
后台Java实习生,苏州,,3-5k,经验不限本科及以上,patsnap,|互联网/电商|D轮|500-999人|,樊先生
java后台工程师,苏州,,10-15k·13薪,1-3年大专及以上,智慧芽,|知识产权服务|D轮及以上|500-999人|,徐先生
高级java工程师,苏州,,20-25k,1-3年统招本科,国内知名IT互联网公司,|互联网/电商|已上市|10000人以上|,秦女士
Java开发工程师,苏州-吴中区,,15-20k·14薪,经验不限统招本科,物流仓储解决方案提供商,|工业自动化|1-49人|,许先生
软件工程师/Java开发工程师,苏州,,13-18k,经验不限学历不限,***光电科技有限公司,|电子/芯片/半导体|100-499人|,吴女士
Java/C/C++/Python/JS/Go/Web开发,苏州,,15-30k·14薪,经验不限统招本科,北京外企德科人力资源服务上海有限公司,|人力资源|其他|10000人以上|,程女士
高级java工程师,苏州,,20-30k·14薪,3-5年统招本科,某某知名公司,|互联网/电商|100-499人|,柯女士
java工程师,苏州,,11-16k·13薪,1-3年大专及以上,苏州福朗特信息科技有限公司,|IT服务|融资未公开|50-99人|,蔡女士
java架构师,苏州-工业园区,,25-35k·13薪,5-10年本科及以上,江苏欧联智能科技有限公司,|计算机软件|A轮|100-499人|,李先生
JAVA后端工程师（清苏智慧水务）G00215,苏州,,8-12k,3-5年硕士及以上,清华苏州环境创新研究院,|政务/公共服务|100-499人|,邱女士
Java开发组长,苏州-工业园区,,15-25k,5-10年本科及以上,盟拓软件,|计算机软件|500-999人|,HR
Java DM（开发经理）,苏州,,15-25k,5-10年本科及以上,盟拓软件,|计算机软件|500-999人|,HR
