id,名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
123,大秦：开局献上凌云窟副本,5203913,871247,310,262000.0,51,1,10,87322人,军事历史
124,大明：朱老头，你别乱认孙子！,2156397,359881,143,56000.0,79,0,10,18535人,军事历史
125,四合院：开局让许大茂成太监,1458498,65378,19,14000000.0,7,2,10,6522人,同人小说
126,全民数据化时代：开局百倍增幅,4256155,987937,193,754000.0,123,0,10,94014人,都市言情
127,我仙秦龙帝，被盘点十大祖龙曝光,1757299,219595,112,12000.0,51,0,10,16993人,玄幻奇幻
128,游戏王：从电子龙开始,739965,80900,66,10000.0,26,0,10,5750人,同人小说
129,王者：刚入xyg，大仙求我上场,433527,116680,33,735000.0,57,0,10,6888人,科幻网游
130,四合院：别惹我，我只想做好人,833046,57240,1,140000.0,3,0,10,2210人,同人小说
131,我是人生大赢家,26982163,17062030,3372,2217000.0,167,19,10,1068627人,都市言情
132,特种兵：长得太凶，被派去当卧底,2623155,485171,159,61000.0,61,1,10,19793人,军事历史
133,人在冰帝，我！世界破坏者,1322705,189876,79,307000.0,37,0,10,20200人,同人小说
134,顶上战争：开局帮雷利抽到茅台酒,1158937,101402,112,270000.0,53,0,10,11581人,同人小说
135,武侠：在下王也，武当小师叔！,1573889,294705,86,39760000.0,23,0,10,14034人,同人小说
136,大秦：投奔舅舅赵高却被献给太后,858569,147214,67,200000.0,109,0,10,19195人,军事历史
137,游戏里为国家造了支航母舰队,3785421,810265,557,76000.0,67,0,10,66114人,科幻网游
138,穿书反派：女主们都重生了！,1194409,112856,72,78000.0,25,1,10,7846人,都市言情
139,直播：拯救濒危，开局签到鬼背,705031,160850,54,574000.0,24,1,10,5597人,都市言情
140,坐拥三千主神，诸天第一禁忌,2302028,414510,127,551000.0,23,0,10,24710人,都市言情
141,全民领主：从零开始打造不朽仙域,6440089,1591751,478,365000.0,89,0,10,114815人,玄幻奇幻
142,三国：开局大雪龙骑，打造大秦,1080912,137844,3,1680000.0,24,0,10,7497人,军事历史
143,为入空军，公布脉冲爆震发动机,753989,211868,46,356000.0,202,0,10,9278人,军事历史
144,重生之枭雄崛起,22217725,5767989,1397,639000.0,407,40,10,511662人,都市言情
145,玄幻：我！天命大反派,38462907,4627410,4271,937000.0,51,629,10,465641人,玄幻奇幻
146,诸天：开局上传先天五太大罗法,3480808,552816,230,19000.0,41,1,10,40416人,武侠仙侠
147,网游：怕痛的我，属性全加防御了,726784,139923,22,802000.0,26,0,10,4321人,科幻网游
148,大秦:五岁皇孙，把亲爹压入大牢,951255,43900,18,28880000.0,12,0,10,3171人,军事历史
149,玄幻：我，究极反派，万古第一黑手,670813,125067,17,896000.0,111,0,10,5885人,玄幻奇幻
150,说好的罗汉拳，怎么成如来神掌啦,1328313,344747,185,597000.0,359,2,10,13972人,武侠仙侠
151,娱乐：夭寿啦！你管这叫网络歌手,2386224,502408,127,585000.0,65,0,10,26453人,都市言情
152,什么职业选手？我打的不是白银吗,491116,23518,15,85000.0,35,0,10,2668人,科幻网游
153,直播指点考古队，我竟拥有麒麟血,5907426,1173818,1016,88000.0,18,0,10,82546人,都市言情
154,天骄榜现世，我夫人竟是移花宫主,465994,91039,5,36640000.0,108,0,10,8262人,武侠仙侠
155,为了专升本，开局公布可控核聚变,3175726,480220,475,219000.0,20,0,10,21261人,都市言情
156,让你做手枪，这机甲什么鬼？,6797768,1826407,1017,129000.0,12,1,10,92742人,都市言情
157,四合院：禽兽都滚，谁惹坑谁,384257,47242,5,61000.0,19,0,10,3077人,同人小说
158,我，大秦圣孙，开局赞同扶苏被贬,1936854,105023,40,46760000.0,25,0,10,9827人,军事历史
159,王者：我，随机一个位置无敌！,1628002,165680,111,18000.0,15,0,10,14740人,科幻网游
160,全球异变：没异能的我自己写功法,468355,166934,14,504000.0,85,0,10,6666人,都市言情
161,女装反派：开局气运之子来寻仇！,1496361,371648,199,1156000.0,251,2,10,29901人,玄幻奇幻
162,我，洛克斯船上的最强青龙,1456746,145669,68,249000.0,13,0,10,12819人,同人小说
163,盘点十大救世主:开局炎龙王纳兹,388879,35486,16,63640000.0,19,0,10,3480人,同人小说
164,大明：朱棣：让你监国没让你换代,859569,14193,1,15880000.0,7,0,10,1269人,军事历史
165,都市：我是世界大亨,45442579,3558072,4221,995000.0,14,341,10,298753人,都市言情
166,全球进入神话级精灵时代,2853580,935296,791,288000.0,59,0,10,63979人,玄幻奇幻
167,我的战舰能升级,13349228,7370536,2119,1055000.0,206,0,10,528261人,科幻网游
168,四合院：咸鱼系统，谁惹坑谁,449091,20477,3,17880000.0,12,0,10,1649人,都市言情
