职位名称,公司名称,工作地点,参考月薪,学历,发布时间
Jira开发运维工程师（Java）,厦门职行力信息科技有限公司,厦门市思明区,15000-25000,大专,2021-11-05 14:09
java后端开发工程师,厦门微亚智能科技有限公司,厦门市湖里区,10000-15000,本科,2021-11-05 14:07
Java工程师,中核国贸资本管理有限公司,福建省、厦门市、厦门市湖里区,,本科,2021-11-05 14:07
高级JAVA开发工程师,厦门特力通信息技术股份有限公司,厦门市思明区,15000-20000,本科,2021-11-05 14:06
中级JAVA开发工程师,厦门特力通信息技术股份有限公司,厦门市思明区,10000-15000,本科,2021-11-05 14:06
java开发工程师,厦门木之森投资集团有限公司,厦门市湖里区,6000-10000,大专,2021-11-05 14:06
急！高薪聘Java开发工程师,慧讯信息技术（厦门）有限公司,厦门市、厦门市思明区,6000-10000,本科,2021-11-05 14:05
中级JAVA开发工程师,厦门象屿盈信信息科技有限公司,厦门市湖里区,10000-12000,本科,2021-11-05 14:03
Java架构师,厦门职行力信息科技有限公司,厦门市思明区,15000-30000,大专,2021-11-05 14:03
Java开发工程师,厦门易景软件工程有限公司,厦门市思明区、厦门市、厦门市集美区,10000-15000,本科,2021-11-05 14:01
中级Java开发工程师,厦门职行力信息科技有限公司,厦门市思明区,12000-18000,大专,2021-11-05 13:58
JAVA开发工程师,厦门对歌网络有限公司,厦门市思明区,8000-15000,本科,2021-11-05 13:57
资深JAVA工程师,厦门银信达资产管理有限公司,厦门市,10000-15000,本科,2021-11-05 13:52
Java技术经理,厦门龙人亦进信息科技有限公司,厦门市,12000-20000,本科,2021-11-05 13:51
JAVA后端工程师,厦门龙人亦进信息科技有限公司,厦门市,6000-12000,大专,2021-11-05 13:50
JAVA后端实习生,厦门龙人亦进信息科技有限公司,厦门市,2500-5000,,2021-11-05 13:50
高级Java开发工程师,厦门职行力信息科技有限公司,厦门市思明区,15000-25000,大专,2021-11-05 13:50
中级Java工程师（急）,团点（厦门）网络科技有限公司,厦门市集美区,10000-15000,,2021-11-05 13:46
高级JAVA工程师,团点（厦门）网络科技有限公司,厦门市集美区,15000-25000,,2021-11-05 13:46
（急招）java中级研发工程师,厦门畅博思信息技术有限公司,厦门市湖里区,8000-13000,,2021-11-05 13:35
JAVA开发工程师,厦门畅博思信息技术有限公司,厦门市湖里区,10000-15000,本科,2021-11-05 13:35
Java开发工程师,厦门计讯物联科技有限公司,厦门市集美区,5000-10000,大专,2021-11-05 13:33
JAVA开发工程师（接受优秀应届生）,同致电子科技（厦门）有限公司,厦门市湖里区,,本科,2021-11-05 13:24
中级JAVA工程师,厦门关务通网络科技有限公司,厦门市,7000-12000,大专,2021-11-05 11:50
Java开发工程师,厦门新页科技有限公司,厦门市,,本科,2021-11-05 11:40
JAVA开发工程师,福建谷玉智能科技有限公司,厦门市集美区,6500-12000,大专,2021-11-05 11:35
JAVA高级工程师,福建谷玉智能科技有限公司,厦门市集美区,10000-15000,大专,2021-11-05 11:35
Java中级工程师,厦门万宾科技有限公司,厦门市,7000-12000,本科,2021-11-05 11:29
Java工程师,厦门一维天地信息技术有限公司,厦门市、厦门市集美区,,,2021-11-05 11:12
JAVA后端开发工程师,厦门凡道科技有限公司,厦门市湖里区,12000-15000,,2021-11-05 11:12
java高级研发工程师,厦门科拓通讯技术股份有限公司,厦门市,,本科,2021-11-05 11:05
java中级研发工程师,厦门科拓通讯技术股份有限公司,厦门市,,本科,2021-11-05 11:05
java工程师,厦门艾睿微尔网络科技有限公司,厦门市思明区,5000-6000,大专,2021-11-05 11:02
高级java工程师,厦门艾睿微尔网络科技有限公司,厦门市思明区,12000-20000,大专,2021-11-05 11:02
后端Java,厦门市凤凰创意会展服务有限公司,厦门市思明区,8000-12000,大专,2021-11-05 10:48
