职位名称,公司名称,工作地点,参考月薪,学历,发布时间
运维工程师,厦门中和志达信息技术有限公司,厦门市、厦门市湖里区、厦门市思明区、厦门市海沧区,5000-8000,本科,2021-10-31 15:48
运维工程师,厦门新游网络股份有限公司,厦门市湖里区,,大专,2021-10-29 15:15
技术运维,厦门晶欣电子有限公司,厦门市湖里区,8000-12000,本科,2021-10-29 14:41
系统运维专员,福建恒安集团有限公司,厦门市湖里区,5000-8000,本科,2021-10-29 14:32
MES运维工程师,漳州万宝能源科技股份有限公司,漳州市,10000-15000,大专,2021-10-29 11:47
运维工程师岗位,成都天用唯勤科技股份有限公司,厦门市思明区,8000-15000,大专,2021-10-29 09:13
游戏运维工程师,厦门卡昆卡信息科技有限公司,厦门市思明区,5000-9000,,2021-10-28 15:36
机房运维工程师,厦门帝恩思科技股份有限公司,厦门市同安区,4000-6000,,2021-10-28 14:23
高级运维工程师,厦门帝恩思科技股份有限公司,厦门市集美区,10000-18000,本科,2021-10-28 14:23
运维工程师,厦门市中资源网络服务有限公司,厦门市思明区,6000-11000,本科,2021-10-28 14:18
产品运维工程师,网宿科技股份有限公司厦门分公司,厦门市集美区,7000-14000,本科,2021-10-28 10:51
高级运维开发工程师,网宿科技股份有限公司厦门分公司,厦门市集美区,,本科,2021-10-28 10:51
自控运维工程师,厦门牧云数据技术有限公司,厦门市、厦门市集美区,6000-11000,本科,2021-10-27 17:23
IDC运维,创世云（厦门）信息科技有限公司,厦门市思明区,5000-10000,大专,2021-10-27 16:03
运维工程师,创世云（厦门）信息科技有限公司,厦门市思明区,8000-15000,本科,2021-10-27 16:03
IT工程师\IT运维工程师,厦门SM商业城有限公司,厦门市,4000-5000,大专,2021-10-25 14:01
运维工程师（龙岩）,厦门市美亚柏科信息股份有限公司,龙岩市,5000-8000,本科,2021-10-25 13:19
运维工程师,厦门市美亚柏科信息股份有限公司,厦门市思明区,9000-13000,本科,2021-10-25 13:19
运维工程师,瑞达期货股份有限公司,厦门市,5000-10000,本科,2021-10-22 16:03
运维工程师,厦门劢联科技有限公司,厦门市湖里区,7000-10000,大专,2021-10-22 14:26
运维工程师,厦门立马耀网络科技有限公司,厦门市思明区、厦门市,6000-10000,本科,2021-10-22 11:30
大数据运维工程师,厦门立马耀网络科技有限公司,厦门市思明区,13000-25000,本科,2021-10-22 11:30
系统运维专员,厦门驿缘集团有限公司,北京市,5000-8000,大专,2021-10-21 14:16
IT运维,厦门燕之屋生物工程股份有限公司,厦门市翔安区,8000-9000,大专,2021-10-20 09:10
MES系统运维工程师,福建三宝钢铁有限公司,漳州市,6500-10000,本科,2021-10-19 16:39
高级实施运维工程师（销售类/电商类ERP）,鸿星尔克（厦门）实业有限公司,厦门市、厦门市思明区,,大专,2021-10-19 16:18
资深/高级系统运维工程师,鸿星尔克（厦门）实业有限公司,厦门市、厦门市思明区,,大专,2021-10-19 16:17
运维开发工程师,厦门摩尔脉能科技有限公司,厦门市,11000-18000,本科,2021-10-19 10:12
网络运维工程师,福建活石网络科技有限公司,漳州市,5000-10000,大专,2021-10-19 09:50
安全运维实习生 [实习],厦门服云信息科技有限公司,厦门市思明区,2000-2500元/月，可提供住宿。,无,2021-10-18 15:36
运维工程师,中网信安（厦门）信息科技有限公司,厦门市,5000-7000,大专,2021-10-18 11:58
Linux运维工程师,厦门神州鹰软件科技有限公司,厦门市思明区,10000-15000,大专,2021-10-18 10:15
运维工程师（监控）,厦门创普云科技有限公司,厦门市、厦门市湖里区、厦门市集美区,15000-20000,本科,2021-10-13 19:30
软件运维工程师,厦门中卡信息技术有限公司,福州市、厦门市,6000-10000,大专,2021-10-13 09:54
运维开发工程师,西安得安信息技术有限公司,厦门市思明区,7000-10000,本科,2021-10-12 11:25
系统运维工程师,厦门合兴包装印刷股份有限公司,厦门市湖里区,,大专,2021-10-12 11:09
SAP FICO运维工程师,宸鸿科技（厦门）有限公司,厦门市湖里区,,大专,2021-10-11 14:47
OA运维工程师,奥佳华智能健康科技集团股份有限公司,厦门市湖里区,5000-7000,本科,2021-10-11 09:40
